,Prod_ID,Material_Desc,Noun,Modifier,long_description,short_description,Manufacturer,Ref_no,exception,ACTION,AMPERAGE,API MATERIAL CLASS,API PERFORMANCE REQUIREMENT,API PRODUCT SPECIFICATION LEVEL,API TEMPERATURE CLASS,APPLICATION,APPROXIMATE LIFE HOURS,ARBOR,BALANCE,BASE,BLADE DIAMETER,BLOCK MATERIAL,BODY MATERIAL,BODY SIZE,BOLT HOLES,BOND/BACKING,BORE,BOTTOM CONNECTION,BOTTOM RATING,BOTTOM SIZE,BRAKE,BRISTLE MATERIAL,BRISTLE SIZE,BULB,CABLE LENGTH,CAGE MATERIAL,CAPACITANCE,CAPACITY,CAPILLARY LENGTH,CARTRIDGE,CASE MATERIAL,CASING MATERIAL,CELLS,CHART TRAVEL,CHOKE TYPE,CIRCUIT,CLASS,CLOSURE,COIL VOLTAGE,COILS,COLOR,COMPOSITION,CONDUCTOR SIZE,CONFIGURATION,CONNECTION,CONNECTION LOCATION,CONNECTION MATERIAL,CONNECTOR,CONTACT,CONTACT ARRANGEMENT,CONTAINER,CONTAINS A,CONTAINS B,CONTAINS C,CONTAINS D,CONTAINS E,CONTAINS F,CONTENT A,CONTENT B,CONTENT C,CONTENT D,CYLINDER,DEGREE,DESIGN DETAIL,DESIGN LENGTH,DESIGN RATING,DESIGNATION,DIAL,DIAL SIGNAL,DIAL SIZE,DIAMETER,DISPLACEMENT,DRIVER,DURATION,ELECTRICAL RATING,ELEMENT,ELEMENT MATERIAL,ENCLOSURE,ENDS,FILLED,FILLER MATERIAL,FILTERING RETENTION,FORM,FORMAT,FRAME,FREQUENCY,FUNCTION,GEAR RATIO,GRADE,GRADUATIONS,GRIT,GROOVE,HANDLE,HANDLE LENGTH,HANDLE MATERIAL,HEAD,HEAD ANGLE,HEAD MATERIAL,HEAD WEIGHT,HOUSING MATERIAL,I/O CAPACITY,INDUSTRY STANDARD,INLET CONNECTION,INLET SIZE,INNER RING MATERIAL,INSERT/LINING MATERIAL,INSERTION LENGTH,INSIDE DIAMETER,INTERNAL MATERIAL,INTERRUPTING RATING,JUNCTION,KEYS,KVA RATING,LENGTH,LINE,LOAD RATING,LOCATION,LUBRICATION,LUMENS,MATERIAL,MAXIMUM OVERALL LENGTH,MESH SIZE,MOUNT,NA,NACE STANDARD,NAME,NEMA/IEC,NEMA/IP RATING,NOMINAL SIZE,NUMBER OF GEARS,NUMBER OF VANES,OPENING DIAMETER,OPERATED,OPERATING VOLTAGE,OPERATION,OPERATOR,ORIFICE SIZE,OUTER RING MATERIAL,OUTLET CONNECTION,OUTLET SIZE,OUTPUT RATING,OUTSIDE DIAMETER,PARENT EQUIPMENT,PERFORATION SIZE,PHASE,PIPE SIZE,PITCH,PITCH DIAMETER,POLE,PORT,POSITION,POWER,POWER SOURCE,PRESSURE RANGE,PRESSURE RATING,PRIMARY VOLTAGE,PROBE DIAMETER,PROCESS,PROTOCOL,PUMP SIZE,PUMP STYLE,QTY,RADIAL CLEARANCE,RADIUS,RANGE,RATING,READOUT,REFRIGERANT,RESISTANCE,ROW,RPM RATING,SCALE,SCOPE,SEAL MATERIAL,SECONDARY VOLTAGE,SECTIONS,SERIES,SERVICE,SERVICE FACTOR,SET PRESSURE,SHAFT SIZE,SHANK,SHAPE,SHEATH DIAMETER,SHEATH MATERIAL,SHELF LIFE,SIZE,SIZE/CONNECTION,SKILLS REQUIRED,SOFTGOODS,SPECIFICATION,SPEED,SPOUT,STANDARDS,STEM LENGTH,STRUCTURE,STYLE,SUPPLY,SUPPLY RATING,TAPER,TAPER SIZE,TAPS,TASK EXCLUDE,TASK INCLUDE,TECHNIQUE,TEETH,TEMPERATURE RANGE,TEMPERATURE RATING,TERMINAL,TERMINATIONS,THICKNESS,THREADS,THRUST,TIP DIAMETER,TOLERANCE,TOP CONNECTION,TOP RATING,TOP SIZE,TRAVEL,TRIM,TUBE DIAMETER,TUBE LENGTH,TUBE MATERIAL,TURNS,TYPE,UOM,VALVE SIZE,VALVE STYLE,VIALS,VISIBLE LENGTH,VOLTAGE,VOLUME/CONTAINER,WATTAGE,WEIGHT,WIDTH,WINDING MATERIAL,WIRE,WIRE DIAMETER,WIRE SIZE,WORK WEIGHT
769,1769,"RING SEAT
MK1,T/N 7.38
FOR VALVE,SIZE: 16IN
MANUFACTURER: YKV-VALTEK
MFR.PART NO: 144908-831-000
EQUIP.MODEL NO: MK1-02-07",RING,NO MODIFIER,"*** RING , NO MODIFIER *** 

","RING , NO MOD:",YKV-VALTEK,"144908-831-000
",SEAT MK1 T/N 7.38 FOR VALVE SIZE : 16IN : : EQUIP.MODEL : MK1-02-07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
770,1770,"FUEL FILTER ELEMENT
MANUFACTURER: CATERPILLAR
MFR.ORIGINAL PART NO: 1R0725
MFR.REVISED PART NO: 1R0766
EQUIPMENT MFR: MHD A AL- BAHAR
EQUIP.MODEL NO: CAT-3616",FUEL,NO MODIFIER,"*** FUEL , NO MODIFIER *** 

","FUEL , NO MOD:",CATERPILLAR,NA,FILTER ELEMENT : MFR.ORIGINAL : 1R0725 MFR.REVISED : 1R0766 : MHD A AL- BAHAR EQUIP.MODEL : CAT-3616,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
771,1771,"SEALING RING
MANUFACTURER: ACK
MFR.PART NO: 103177
EQUIPMENT MFR: LINDE
EQUIP.MODEL NO: ETF100NS","RING
NO
EQUIPMENT",NO MODIFIER,,,LINDE,"103177
",SEALING RING : ACK : : EQUIP.MODEL : ETF100NS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
772,1772,"FILTER ELEMENT
20 MICRON
MANUFACTURER: TAISEI KOGYO
MFR.PART NO: P-GM-04Z-3-20UW
EQUIPMENT MFR: NIIGATA
EQUIP.MODEL NO: HYD-POWER UNIT",FILTER,NO MODIFIER,"*** FILTER , NO MODIFIER *** 

ELEMENT MATERIAL : MICRON
","FILTER , NO MOD: MICRON",NIIGATA,"P-GM-04Z-3-20UW
",20 TAISEI KOGYO EQUIP.MODEL HYD-POWER UNIT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MICRON,,,,,NA,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
773,1773,"DIAPHRAGM
SIZE: 1-1/2IN,NO2
MATERIAL: EPDM/RUBBER
MANUFACTURER: ALFA LAVAL
MFR.PART NO: RICAMEM302
EQUIPMENT MFR: IONICS
EQUIP.MFR.PART NO: ABS5156-1-1/2",DIAPHRAGM,NO MODIFIER,"*** DIAPHRAGM , NO MODIFIER *** 

MATERIAL : EPDM/RUBBER
SIZE : 1
","DIAPHRAGM , NO MOD: EPDM/RUBBER,1",IONICS,"RICAMEM302
ABS5156-1-1/2
",1-1/2IN NO2 ALFA LAVAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,EPDM/RUBBER,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
774,1774,"SPIRAL WOUND GASKET
NO INNER/OUTER RING
WINDING MATERIAL: 316SS
FILLER MATERIAL: GRAPHITE
OUTER DIAMETER: 69MM
INNER DIAMETER: 57MM
THICKNESS: 5.5MM
MANUFACTURER: VANESSA
MFR.PART NO: 3GTW080508721
EQUIPMENT MFR: VANESSA
EQUIP.MODEL NO: 1TF03QA5","GASKET
NO
RING
MATERIAL",SPIRAL WOUND,,,VANESSA,"3GTW080508721
",SPIRAL WOUND GASKET INNER/OUTER RING WINDING MATERIAL : 316SS FILLER MATERIAL : GRAPHITE OUTER DIAMETER : 69MM INNER DIAMETER : 57MM THICKNESS : 5.5MM : : : EQUIP.MODEL : 1TF03QA5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
775,1775,"FUSE
RATING: 300A,130V,FORM 101
MANUFACTURER: GOULDS PUMP
MFR.PART NO: A13X300-TYPE 4
MFR.DRAWING NO: E2163-120
EQUIPMENT MFR: LA MARCHE
EQUIP.MODEL NO: A12B-300-24V-5J3",FUSE,NO MODIFIER,"*** FUSE , NO MODIFIER *** 

TYPE : 4
","FUSE , NO MOD: 4",GOULDS PUMP,"A13X300-TYPE
",RATING 300A 130V FORM 101 MFR.DRAWING E2163-120 LA MARCHE EQUIP.MODEL A12B-300-24V-5J3,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,NA,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,,,,,,NA,,,,,,,,,
776,1776,"PRIMARY RING FOR MECHANICAL SEAL
SIZE: 2-3/4IN,2-3/8IN
MANUFACTURER: JOHN CRANE
MFR.PART NO: A28-2375-026-9055
MFR.PART NO (UK): A/77361/1/171
JCI REF.NO: 87060027
MFR.DRAWING NO: MI-8B-3333,POS.NO: 13
EQUIP.MODEL NO: 8B1V-H,28LD
EQUIP.TAG: 15-P001
SERVICE: SCRUB COLUMN REFLUX PUMP","RING
MECHANICAL
SEAL",MECHANICAL,,,JOHN CRANE,"A28-2375-026-9055
",PRIMARY RING FOR MECHANICAL SEAL SIZE : 2-3/4IN 2-3/8IN : : ( UK ) : A/77361/1/171 JCI REF.NO : 87060027 MFR.DRAWING : MI-8B-3333 POS.NO : 13 EQUIP.MODEL : 8B1V-H 28LD EQUIP.TAG : 15-P001 SERVICE : SCRUB COLUMN REFLUX PUMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
777,1777,"O-RING
INSIDE DIAMETER: 28.17MM(1.109IN)
OUTSIDE DIAMETER: 35.23MM(1.387IN)
THICKNESS: 3.53MM(0.139IN)
MATERIAL: VITON
DASH NO: 216
HARDNESS: 85 SH A
TEMPERATURE RANGE: -20 TO +200 DEG C
MANUFACTURER: MAPAG
MFR.PART NO: 277576
EQUIPMENT MFR: LINDE
EQUIP.MODEL NO: N265-DN150
THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING:
-PRODUCTION DATE
-EXPIRY DATE
-MAXIMUM SHELF LIFE
NOTE: THE SUPPLIED ITEM SHOULD HAVE 80% SHELF LIFE","O
RING",NO MODIFIER,,,LINDE,"277576
",O-RING INSIDE DIAMETER : 28.17MM ( 1.109IN ) OUTSIDE DIAMETER : 35.23MM ( 1.387IN ) THICKNESS : 3.53MM ( 0.139IN ) MATERIAL : VITON DASH : 216 HARDNESS : 85 SH A TEMPERATURE RANGE : -20 TO +200 DEG C : MAPAG : : EQUIP.MODEL : N265-DN150 THE ITEM NEEDS TO BE SUPPLIED WITH THE FOLLOWING : -PRODUCTION DATE -EXPIRY DATE -MAXIMUM SHELF LIFE NOTE : THE SUPPLIED ITEM SHOULD HAVE 80 % SHELF LIFE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
778,1778,"CLOSURE O-RING
INSIDE DIAMETER: 582.68MM
OUTSIDE DIAMETER: 596.66MM
THICKNESS: 6.99MM
DASH NO: 472
MANUFACTURER: RING-O-VALVE
MFR.ORIGINAL PART NO: 616058200006
MFR.REVISED PART NO:9F-616058200006
EQUIP.MODEL NO: GBAA2-20-900RTJ",CLOSURE,NO MODIFIER,"*** CLOSURE , NO MODIFIER *** 

","CLOSURE , NO MOD:",RING-O-VALVE,NA,O-RING INSIDE DIAMETER : 582.68MM OUTSIDE DIAMETER : 596.66MM THICKNESS : 6.99MM DASH : 472 : MFR.ORIGINAL : 616058200006 MFR.REVISED NO:9F-616058200006 EQUIP.MODEL : GBAA2-20-900RTJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
779,1779,"O-RING
INSIDE DIAMETER: 171.04MM(6.734IN)
OUTSIDE DIAMETER: 178.10MM(7.012IN)
THICKNESS: 3.53MM(0.139IN)
MATERIAL: NBR,ELASTOMER
DASH NO: 261
HARDNESS: 85 SH A
TEMPERATURE RANGE: -40 TO +110 DEG C
MANUFACTURER: YARWAY CORP
MFR.PART NO: 110056-A8
EQUIPMENT MFR: YARWAY CORP
EQUIP.MODEL NO: 9211","O
RING",NO MODIFIER,,,YARWAY CORP,"110056-A8
",O-RING INSIDE DIAMETER : 171.04MM ( 6.734IN ) OUTSIDE DIAMETER : 178.10MM ( 7.012IN ) THICKNESS : 3.53MM ( 0.139IN ) MATERIAL : NBR ELASTOMER DASH : 261 HARDNESS : 85 SH A TEMPERATURE RANGE : -40 TO +110 DEG C : : : EQUIP.MODEL : 9211,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
780,1780,"CIRCUIT BREAKER
CURRENT RATING: 20A
MANUFACTURER: NATIONAL FOAM,INC
MFR.PART NO: 1288-4000-5
EQUIP.MODEL NO: ME-1709",CIRCUIT,NO MODIFIER,"*** CIRCUIT , NO MODIFIER *** 

RATING : 20A
","CIRCUIT , NO MOD: 20A",NATIONAL,"1288-4000-5
",BREAKER CURRENT FOAM INC EQUIP.MODEL ME-1709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
781,1781,"BARRIER GAS SEAL CARBON REPAIR KIT NDE
MATERIAL: CARBON SEAL SUITABLE FOR
DRY NITROGEN PURGE SYSTEM
(LOW TEMPERATURE AND DEWPOINT)
FOR COMPRESSOR
MANUFACTURER: KAYDON
MFR.PART NO: 201794-800
EQUIPMENT MFR: DEMAG DELAVAL
EQUIP.MFR.PART NO: 52146315/001
EQUIP.MODEL NO: 06MH6A
ORIGINAL PO: P-2158-205-A",BARRIER,NO MODIFIER,"*** BARRIER , NO MODIFIER *** 

MATERIAL : CARBON
","BARRIER , NO MOD: CARBON",DEMAG DELAVAL,"201794-800
52146315/001
",GAS SEAL REPAIR KIT NDE SEAL SUITABLE FOR DRY NITROGEN PURGE SYSTEM ( LOW TEMPERATURE AND DEWPOINT ) FOR COMPRESSOR KAYDON EQUIP.MODEL 06MH6A ORIGINAL PO P-2158-205-A,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CARBON,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
782,1782,"AMPLIFIER PCB COMPLETE WITH DISPLAY
FOR LEVEL TRANSMITTER
MANUFACTURER: TOKYO KEISO
MFR.ORIGINAL PART NO:
AT251202-001/AT251301-001A
MFR.REVISED PART NO:
AT256202-001/AT256201-001
EQUIP.MODEL NO: FST-3659E-8
EQUIP.SERIAL NO: L97-11135-8-1",AMPLIFIER,NO MODIFIER,"*** AMPLIFIER , NO MODIFIER *** 

","AMPLIFIER , NO MOD:",TOKYO KEISO,NA,PCB COMPLETE WITH DISPLAY FOR LEVEL TRANSMITTER : MFR.ORIGINAL : AT251202-001/AT251301-001A MFR.REVISED : AT256202-001/AT256201-001 EQUIP.MODEL : FST-3659E-8 EQUIP.SERIAL : L97-11135-8-1,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
783,1783,"GATE VALVE
STYLE: BOLTED BONNET,BOLTED GLAND,OS AND Y
BORE TYPE: STANDARD BORE
BODY MATERIAL: ASTM A105N
STEM MATERIAL: 13CR
SEAT MATERIAL: 13CR-HF (STELLITE)
DISC MATERIAL: 13CR
BOLTING MATERIAL: ASTM A193 B7, A194 2H
END CONNECTION: SOCKET WELD
OPERATION: WHEEL OPERATED
DESIGN STANDARD: ASME B16.34
SOCKET WELD END AS PER: ASME B16.11
STANDARDS AS PER: API602/ISO 15761
TESTING AS PER API 598
MATERIAL TEST CERTIFICATE: EN 10204-3.1
PAINTING SPEC AS PER: RG-S-00-13A0-004
PAINTING SYSTEM NO: 1C
AS PER  VALVE SPEC: RG6-S-00-1360-083
PRESSURE RATING: CLASS-800
SIZE: 3/4IN",GATE,VALVE,"*** GATE , VALVE *** 

MATERIAL : ASTM
SIZE : 3/4IN
TYPE : STANDARD
VALVE SIZE : BOLTED
","GATE , VLV: ASTM,3/4IN,STANDARD,BOLTED",NA,NA,STYLE BONNET GLAND OS AND Y BORE BORE BODY A105N STEM 13CR SEAT 13CR-HF ( STELLITE ) DISC 13CR BOLTING A193 B7 A194 2H END CONNECTION SOCKET WELD OPERATION WHEEL OPERATED DESIGN ASME B16.34 SOCKET WELD END AS PER ASME B16.11 STANDARDS AS PER API602/ISO 15761 TESTING AS PER API 598 TEST CERTIFICATE EN 10204-3.1 PAINTING SPEC AS PER RG-S-00-13A0-004 PAINTING SYSTEM 1C AS PER SPEC RG6-S-00-1360-083 PRESSURE RATING CLASS-800,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ASTM,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3/4IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,STANDARD,,BOLTED,,,,,,,,,,,,,
784,1784,"CONTACTOR
3-POLE
WITHOUT AUXILIARY CONTACT
VOLTAGE: 240VAC
CURRENT: AC-3 72AMPS,AC-1 100AMPS
MANUFACTURER: ALLEN BRADLEY
MFR.PART NO: 100-C72T00 SERIES-B
EQUIPMENT MFR: HOLEC
EQUIP.MODEL NO: CAPITOLE 40",CONTACTOR,NO MODIFIER,"*** CONTACTOR , NO MODIFIER *** 

POLE : WITHOUT
","CONTACTOR , NO MOD: WITHOUT",HOLEC,"100-C72T00
",3-POLE AUXILIARY CONTACT VOLTAGE 240VAC CURRENT AC-3 72AMPS AC-1 100AMPS ALLEN BRADLEY SERIES-B EQUIP.MODEL CAPITOLE 40,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,WITHOUT,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
785,1785,"MAGNETIC CONTACTOR
3-POLE + 1 AUXILIARY CONTACT
RATING: 80A,240V
MANUFACTURER: TELEMECANIQUE
MFR.ORIGINAL PART NO: LC1-D8011U5
MFR.REVISED PART NO: LC1D80U5
EQUIPMENT MFR: TOGAMI
EQUIP.MODEL NO: SPB-24711","CONTACTOR
POLE
CONTACT",NO MODIFIER,,,TELEMECANIQUE,NA,MAGNETIC CONTACTOR 3-POLE + 1 AUXILIARY CONTACT RATING : 80A 240V : MFR.ORIGINAL : LC1-D8011U5 MFR.REVISED : LC1D80U5 : TOGAMI EQUIP.MODEL : SPB-24711,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
786,1786,"SPRING COMPLETE WITH 2 WASHERS
MATERIAL: INCONEL
RATING: 420-463 PSIG
SPRING PART NO: X07916
WASHER PART NO:
MANUFACTURER: CROSBY
MFR.ORIGINAL PART NO: X07916
EQUIPMENT MFR: ANDERSON GREENWOOD CROSBY
EQUIP.MODEL NO: JOS-45-S4-K6Q8",SPRING,NO MODIFIER,"*** SPRING , NO MODIFIER *** 

MATERIAL : INCONEL
","SPRING , NO MOD: INCONEL",ANDERSON GREENWOOD,NA,COMPLETE WITH 2 WASHERS RATING 420-463 PSIG X07916 WASHER CROSBY MFR.ORIGINAL X07916 CROSBY EQUIP.MODEL JOS-45-S4-K6Q8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,INCONEL,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NA,,,,,,,,,,,,,,,
787,1787,"DUAL-FUEL-GAS NOZZLE TIP FOR FRAME-7
MANUFACTURER: GE
MFR.PART NO: 224B9789G030
EQUIP.MODEL NO: MS 7001 EA","FUEL
GAS
NOZZLE
TIP
FRAME",NO MODIFIER,,,GE,"224B9789G030
",DUAL-FUEL-GAS NOZZLE TIP FOR FRAME-7 : : EQUIP.MODEL : MS 7001 EA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
788,1788,"LABYRINGTH TIGHNESS BOX
FOR BLOWER
EQUIPMENT MFR: HOWDEN
EQUIP.MODEL NO: 97SC185
ORIGINAL PO: V-2158-203-A-010","BOX
BLOWER
EQUIPMENT
EQUIP",NO MODIFIER,,,HOWDEN,NA,LABYRINGTH TIGHNESS BOX FOR BLOWER : EQUIP.MODEL : 97SC185 ORIGINAL PO : V-2158-203-A-010,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
